  0.50000D-04  0.38814D-01
  0.10000D-03  0.69879D-01
  0.16250D-03  0.10265D+00
  0.24063D-03  0.13771D+00
  0.33828D-03  0.17554D+00
  0.46035D-03  0.21660D+00
  0.61294D-03  0.26130D+00
  0.80367D-03  0.31004D+00
  0.10421D-02  0.36315D+00
  0.13401D-02  0.42089D+00
  0.17126D-02  0.48343D+00
  0.21783D-02  0.55070D+00
  0.27604D-02  0.62235D+00
  0.34880D-02  0.69754D+00
  0.43975D-02  0.77464D+00
  0.55343D-02  0.85080D+00
  0.69554D-02  0.92117D+00
  0.87318D-02  0.97747D+00
  0.10952D-01  0.10081D+01
  0.13173D-01  0.10270D+01
  0.15948D-01  0.10470D+01
  0.18724D-01  0.10641D+01
  0.22193D-01  0.10824D+01
  0.25663D-01  0.10983D+01
  0.29999D-01  0.11157D+01
  0.34336D-01  0.11309D+01
  0.39757D-01  0.11476D+01
  0.45178D-01  0.11624D+01
  0.46091D-01  0.11648D+01
  0.32538D-01  0.11248D+01
